Ref,Theta,Error,Esfuerzo
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
6.280000,0.000000,6.280000,3.140000
6.280000,0.040000,6.240000,3.120000
6.280000,0.180000,6.100000,3.050000
6.280000,0.420000,5.870000,2.930000
6.280000,0.730000,5.550000,2.780000
6.280000,1.110000,5.180000,2.590000
6.280000,1.530000,4.750000,2.370000
6.280000,1.990000,4.290000,2.140000
6.280000,2.480000,3.810000,1.900000
6.280000,2.970000,3.310000,1.660000
6.280000,3.470000,2.810000,1.410000
6.280000,3.970000,2.310000,1.160000
6.280000,4.470000,1.810000,0.910000
6.280000,4.950000,1.330000,0.660000
6.280000,5.430000,0.850000,0.430000
6.280000,5.880000,0.400000,0.200000
6.280000,6.320000,-0.030000,-0.020000
6.280000,6.720000,-0.440000,-0.220000
6.280000,7.070000,-0.790000,-0.400000
6.280000,7.380000,-1.100000,-0.550000
