Tiempo;Posición;Velocidad;Voltaje;
0;0;0;2;
2;-0,01;0;2;
66;-0,01;0;2;
132;0,61;17;2;
198;2,12;27;2;
265;4,12;32;2;
332;6,41;35;2;
398;8,89;38;2;
465;11,54;40;2;
532;14,33;42;2;
600;17,21;43;2;
668;20,15;43;2;
735;23,15;44;2;
803;26,17;44;2;
870;29,22;45;2;
938;32,28;45;2;
1006;35,36;45;2;
1074;38,49;45;2;
1143;41,63;45;2;
1211;44,77;45;2;
1280;47,92;46;2;
1349;51,07;45;2;
1417;54,22;45;2;
1486;57,37;45;2;
1555;60,53;46;2;
1623;63,68;46;2;
1692;66,84;46;2;
1761;69,99;45;2;
1829;73,14;45;2;
1898;76,29;45;2;
1966;79,45;46;2;Hasta aquí
33755;82,6;45;2;
33824;85,8;46;2;
33894;89;45;2;
33964;92,21;45;2;
34033;95,41;45;2;
34103;98,61;46;2;
34173;101,81;45;2;
34243;105,07;45;2;
34314;108,31;46;2;
34385;111,57;45;2;
34455;114,81;46;2;
34526;118,07;45;2;
34597;121,32;45;2;
34668;124,57;45;2;
34738;127,82;46;2;
34809;131,07;45;2;
34880;134,32;46;2;
34951;137,57;45;2;
35021;140,82;46;2;
35092;144,07;45;2;
35163;147,32;46;2;
35233;150,58;45;2;
35304;153,83;46;2;
35375;157,08;45;2;
35446;160,33;46;2;
35516;163,58;45;2;
35587;166,83;46;2;
35658;170,08;45;2;
35728;173,34;46;2;
35799;176,58;45;2;
35870;179,84;45;2;
35941;183,09;45;2;
36011;186,34;45;2;
36082;189,59;45;2;
36153;192,84;46;2;
36223;196,09;45;2;
36294;199,35;45;2;
36365;202,59;46;2;
36436;205,85;45;2;
36506;209,09;46;2;
36577;212,35;45;2;
36648;215,59;45;2;
36719;218,85;45;2;
36789;222,1;46;2;
36860;225,35;45;2;
36931;228,6;46;2;
37001;231,86;45;2;
37072;235,1;46;2;
37143;238,36;46;2;
37214;241,61;46;2;
37284;244,86;45;2;
37355;248,11;46;2;
37426;251,36;45;2;
37496;254,62;46;2;
37567;257,87;45;2;
37638;261,12;46;2;
37709;264,37;45;2;
37779;267,62;46;2;
37850;270,87;45;2;
37921;274,12;46;2;
37991;277,37;45;2;
38062;280,63;45;2;
38133;283,87;45;2;
38204;287,13;46;2;
38274;290,38;45;2;
38345;293,63;45;2;
38416;296,88;46;2;
38487;300,14;45;2;
38557;303,38;46;2;
38628;306,64;45;2;
38699;309,89;45;2;
38769;313,14;45;2;
38840;316,39;46;2;
38911;319,64;45;2;
38982;322,89;46;2;
39052;326,15;45;2;
39123;329,4;46;2;
39194;332,65;45;2;
39264;335,9;46;2;
39335;339,15;45;2;
39406;342,4;46;2;
39477;345,65;45;2;
39547;348,91;46;2;
39618;352,16;45;2;
39689;355,41;46;2;
39759;358,66;45;2;
39830;361,92;46;2;
39901;365,16;45;2;
39972;368,42;46;2;
40042;371,67;45;2;
40113;374,93;46;2;
40184;378,17;46;2;
40255;381,43;46;2;
40325;384,68;46;2;
40396;387,93;45;2;
40467;391,18;45;2;
40537;394,44;45;2;
40608;397,68;45;2;
40679;400,94;45;2;
40750;404,19;46;2;
40820;407,45;45;2;
40891;410,7;46;2;
40962;413,95;45;2;
41032;417,2;46;2;
41103;420,45;46;2;
41174;423,7;46;2;
41245;426,96;46;2;
41315;430,21;46;2;
41386;433,46;45;2;
41457;436,72;46;2;
41527;439,96;45;2;
41598;443,22;46;2;
41669;446,47;45;2;
41740;449,72;46;2;
41810;452,97;46;2;
